label,config_label,mode,round_index,warmup,request_count,batch_delay_seconds,max_tokens,submit_concurrency,arrival_pattern,arrival_rate_rps,arrival_burst,arrival_span_seconds,gpu_count,token_metric,interactivity_mode,succeeded,failed,submit_failed,failure_top_error,failure_top_error_count,failure_error_summary,submit_seconds,wall_seconds,service_window_seconds,submit_started_at,run_finished_at,service_started_at,service_finished_at,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,response_cached_prompt_tokens,metrics_prompt_tokens,metrics_completion_tokens,metrics_cached_prompt_tokens,metrics_prefix_cache_queries,metrics_prefix_cache_hits,metrics_local_compute_prompt_tokens,metrics_local_cache_hit_prompt_tokens,metrics_external_kv_transfer_prompt_tokens,cached_prompt_token_source,metrics_prefix_cache_hit_rate,throughput_tok_s,throughput_tok_s_gpu,service_throughput_tok_s,service_throughput_tok_s_gpu,interactivity_tok_s_user_median,interactivity_tok_s_user_p50,interactivity_tok_s_user_p95,queue_seconds_p50,queue_seconds_p95,upstream_seconds_p50,upstream_seconds_p95,end_to_end_seconds_p50,end_to_end_seconds_p95,uncached_input_tokens,billed_breakdown_tokens,input_token_ratio,output_token_ratio,cached_token_ratio,input_throughput_tok_s_gpu,output_throughput_tok_s_gpu,cached_throughput_tok_s_gpu,service_input_throughput_tok_s_gpu,service_output_throughput_tok_s_gpu,service_cached_throughput_tok_s_gpu,input_cost_usd,output_cost_usd,cached_cost_usd,estimated_cost_usd,input_cost_per_m,output_cost_per_m,cached_cost_per_m
vllm_batch_n256_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,33.963161,33.963162,33.96238,1783017999.025,1783018032.988,1783017999.025,1783018032.987,16221,259141,275362,0,0,16221,259141,0,16221,0,16221,0,0,none,0.0,7630.061076675844,953.7576345844805,7630.2367118142665,953.7795889767833,29.79767598471889,29.79767598471889,29.82712032857731,0.0,0.0,33.962380170822144,33.962380170822144,33.962380170822144,33.962380170822144,16221,275362,0.05890791031442247,0.9410920896855776,0.0,59.700713474883784,953.7576345844805,0.0,59.70208771592454,953.7795889767833,0.0,0.022709399999999998,1.1402204000000002,0.0,1.1629298000000003,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,32.463302,32.463302,32.46259,1783018033.795,1783018066.258,1783018033.795,1783018066.257,16221,259064,275285,0,0,16221,259064,0,16221,0,16221,0,0,none,0.0,7980.211034033787,997.5263792542233,7980.386043326101,997.5482554157626,31.174345628284957,31.174345628284957,31.174345628284957,0.0,0.0,32.46258997917175,32.46258997917175,32.46258997917175,32.46258997917175,16221,275285,0.058924387453003255,0.9410756125469968,0.0,62.45898850431846,997.5263792542233,0.0,62.46035825548546,997.5482554157626,0.0,0.022709399999999998,1.1398816,0.0,1.1625910000000002,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,33.000154,33.000154,32.999036,1783018067.067,1783018100.067,1783018067.067,1783018100.066,16221,259064,275285,0,0,16221,259064,0,16221,0,16221,0,0,none,0.0,7850.38760290441,981.2984503630513,7850.6536158592235,981.3317019824029,30.66756268431559,30.66756268431559,30.66756268431559,0.0,0.0,32.99903583526611,32.99903583526611,32.99903583526611,32.99903583526611,16221,275285,0.058924387453003255,0.9410756125469968,0.0,61.4428950504086,981.2984503630513,0.0,61.44497706302905,981.3317019824029,0.0,0.022709399999999998,1.1398816,0.0,1.1625910000000002,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,32.80152,32.801521,32.800918,1783018101.165,1783018133.967,1783018101.165,1783018133.966,16221,259120,275341,0,0,16221,259120,0,16221,0,16221,0,0,none,0.0,7899.633663435928,987.454207929491,7899.778877900119,987.4723597375149,30.852794938387312,30.852794938387312,30.883281889907458,0.0,0.0,32.800918102264404,32.800918102264404,32.800918102264404,32.800918102264404,16221,275341,0.05891240316552929,0.9410875968344707,0.0,61.8149687666883,987.454207929491,0.0,61.81610507603516,987.4723597375149,0.0,0.022709399999999998,1.140128,0.0,1.1628374000000001,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round4,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,4,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,33.156091,33.156092,33.155498,1783018134.638,1783018167.794,1783018134.638,1783018167.793,16221,259120,275341,0,0,16221,259120,0,16221,0,16221,0,0,none,0.0,7815.155071922343,976.8943839902929,7815.295061552777,976.9118826940971,30.522841163520415,30.522841163520415,30.55300207376105,0.0,0.0,33.155498027801514,33.155498027801514,33.155498027801514,33.155498027801514,16221,275341,0.05891240316552929,0.9410875968344707,0.0,61.15392020186223,976.8943839902929,0.0,61.15501562666312,976.9118826940971,0.0,0.022709399999999998,1.140128,0.0,1.1628374000000001,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round5,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,5,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,32.019003,32.019003,32.018344,1783018168.523,1783018200.542,1783018168.523,1783018200.542,16221,259157,275378,0,0,16221,259157,0,16221,0,16221,0,0,none,0.0,8093.8497292647435,1011.7312161580929,8094.016313692988,1011.7520392116235,31.606881193474628,31.606881193474628,31.63811328951561,0.0,0.0,32.01834416389465,32.01834416389465,32.01834416389465,32.01834416389465,16221,275378,0.05890448764970332,0.9410955123502966,0.0,63.325675390980855,1011.7312161580929,0.0,63.32697873509782,1011.7520392116235,0.0,0.022709399999999998,1.1402908,0.0,1.1630002000000002,1.4,4.4,0.26
vllm_batch_n264_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n264_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,264,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,264,0,0,,0,,89.900922,89.900922,89.90041,1783018201.709,1783018291.61,1783018201.709,1783018291.61,16742,267101,283843,0,0,16742,267101,0,16742,0,16742,0,0,none,0.0,2971.059627416261,371.3824534270326,2971.076544357256,371.384568044657,11.256900808643708,11.256900808643708,11.256900808643708,0.0,0.0,89.90041017532349,89.90041017532349,89.90041017532349,89.90041017532349,16742,283843,0.058983311196682674,0.9410166888033173,0.0,23.2784041814721,371.3824534270326,0.0,23.278536726570277,371.384568044657,0.0,0.0234388,1.1752444000000002,0.0,1.1986832000000003,1.4,4.4,0.26
vllm_batch_n264_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n264_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,264,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,264,0,0,,0,,90.155161,90.155161,90.154448,1783018292.3,1783018382.455,1783018292.3,1783018382.455,16742,265781,282523,0,0,16742,265781,0,16742,0,16742,0,0,none,0.0,2948.039772046064,368.504971505758,2948.0630906576816,368.5078863322102,11.169720680907535,11.169720680907535,11.169720680907535,0.0,0.0,90.15444779396057,90.15444779396057,90.15444779396057,90.15444779396057,16742,282523,0.05925889219638755,0.9407411078036124,0.0,23.212758748553888,368.504971505758,0.0,23.212942358460023,368.5078863322102,0.0,0.0234388,1.1694364000000002,0.0,1.1928752000000002,1.4,4.4,0.26
vllm_batch_n264_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n264_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,264,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,264,0,0,,0,,91.008669,91.008669,91.007998,1783018383.021,1783018474.03,1783018383.021,1783018474.029,16742,265781,282523,0,0,16742,265781,0,16742,0,16742,0,0,none,0.0,2920.392125429215,365.04901567865187,2920.413646874554,365.05170585931927,11.064961537516513,11.064961537516513,11.064961537516513,0.0,0.0,91.00799822807312,91.00799822807312,91.00799822807312,91.00799822807312,16742,282523,0.05925889219638755,0.9407411078036124,0.0,22.995062177100653,365.04901567865187,0.0,22.99523163618439,365.05170585931927,0.0,0.0234388,1.1694364000000002,0.0,1.1928752000000002,1.4,4.4,0.26
vllm_batch_n264_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n264_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,264,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,264,0,0,,0,,92.149108,92.149108,92.148474,1783018475.001,1783018567.15,1783018475.001,1783018567.15,16742,267101,283843,0,0,16742,267101,0,16742,0,16742,0,0,none,0.0,2898.573909083045,362.3217386353806,2898.593842938375,362.3242303672969,10.982276251506493,10.982276251506493,10.982276251506493,0.0,0.0,92.14847421646118,92.14847421646118,92.14847421646118,92.14847421646118,16742,283843,0.058983311196682674,0.9410166888033173,0.0,22.71047486993138,362.3217386353806,0.0,22.71063105270772,362.3242303672969,0.0,0.0234388,1.1752444000000002,0.0,1.1986832000000003,1.4,4.4,0.26
