label,config_label,mode,round_index,warmup,request_count,batch_delay_seconds,max_tokens,submit_concurrency,arrival_pattern,arrival_rate_rps,arrival_burst,arrival_span_seconds,gpu_count,token_metric,interactivity_mode,succeeded,failed,submit_failed,failure_top_error,failure_top_error_count,failure_error_summary,submit_seconds,wall_seconds,service_window_seconds,submit_started_at,run_finished_at,service_started_at,service_finished_at,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,response_cached_prompt_tokens,metrics_prompt_tokens,metrics_completion_tokens,metrics_cached_prompt_tokens,metrics_prefix_cache_queries,metrics_prefix_cache_hits,metrics_local_compute_prompt_tokens,metrics_local_cache_hit_prompt_tokens,metrics_external_kv_transfer_prompt_tokens,cached_prompt_token_source,metrics_prefix_cache_hit_rate,throughput_tok_s,throughput_tok_s_gpu,service_throughput_tok_s,service_throughput_tok_s_gpu,interactivity_tok_s_user_median,interactivity_tok_s_user_p50,interactivity_tok_s_user_p95,queue_seconds_p50,queue_seconds_p95,upstream_seconds_p50,upstream_seconds_p95,end_to_end_seconds_p50,end_to_end_seconds_p95,uncached_input_tokens,billed_breakdown_tokens,input_token_ratio,output_token_ratio,cached_token_ratio,input_throughput_tok_s_gpu,output_throughput_tok_s_gpu,cached_throughput_tok_s_gpu,service_input_throughput_tok_s_gpu,service_output_throughput_tok_s_gpu,service_cached_throughput_tok_s_gpu,input_cost_usd,output_cost_usd,cached_cost_usd,estimated_cost_usd,input_cost_per_m,output_cost_per_m,cached_cost_per_m
vllm_batch_n64_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,24.711175,24.711175,24.710921,1783035004.213,1783035028.924,1783035004.213,1783035028.924,4045,64225,68270,0,0,4045,64225,0,4045,0,4045,0,0,none,0.0,2599.0265574669515,324.87831968336894,2599.0532636294533,324.88165795368167,40.629808901268525,40.629808901268525,40.629808901268525,0.0,0.0,24.710921049118042,24.710921049118042,24.710921049118042,24.710921049118042,4045,68270,0.059250036619305696,0.9407499633806943,0.0,20.46139047285679,324.87831968336894,0.0,20.461600722812648,324.88165795368167,0.0,0.005663,0.28259,0.0,0.288253,1.4,4.4,0.26
vllm_batch_n64_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,21.735492,21.735492,21.735049,1783035029.5,1783035051.235,1783035029.5,1783035051.235,4045,64055,68100,0,0,4045,64055,0,4045,0,4045,0,0,none,0.0,2947.023270925789,368.3779088657236,2947.083269510208,368.385408688776,46.054646050733254,46.054646050733254,46.054646050733254,0.0,0.0,21.7350492477417,21.7350492477417,21.7350492477417,21.7350492477417,4045,68100,0.059397944199706315,0.9406020558002937,0.0,23.262643686860542,368.3779088657236,0.0,23.26311729210989,368.385408688776,0.0,0.005663,0.281842,0.0,0.28750499999999996,1.4,4.4,0.26
vllm_batch_n64_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,21.337857,21.337857,21.337589,1783035051.785,1783035073.123,1783035051.785,1783035073.123,4045,64009,68054,0,0,4045,64009,0,4045,0,4045,0,0,none,0.0,2999.785778677806,374.97322233472573,2999.8234870268543,374.9779358783568,46.86565150255205,46.86565150255205,46.9125171540546,0.0,0.0,21.337588787078857,21.337588787078857,21.337588787078857,21.337588787078857,4045,68054,0.05943809327886678,0.9405619067211333,0.0,23.696147172178375,374.97322233472573,0.0,23.69644504097788,374.9779358783568,0.0,0.005663,0.28163960000000005,0.0,0.2873026,1.4,4.4,0.26
vllm_batch_n64_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n64_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,64,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,64,0,0,,0,,22.14088,22.14088,22.140602,1783035073.855,1783035095.996,1783035073.855,1783035095.996,4045,64099,68144,0,0,4045,64099,0,4045,0,4045,0,0,none,0.0,2895.0520032378413,361.88150040473016,2895.0883845110275,361.88604806387843,45.256221801900956,45.256221801900956,45.25622180190096,0.0,0.0,22.140602111816406,22.140602111816406,22.140602111816406,22.140602111816406,4045,68144,0.05935959145339281,0.9406404085466071,0.0,22.836716159957774,361.88150040473016,0.0,22.83700314230157,361.88604806387843,0.0,0.005663,0.28203560000000005,0.0,0.2876986,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,30.202428,30.202429,30.201693,1783035096.577,1783035126.779,1783035096.577,1783035126.779,8122,126486,134608,0,0,8122,126486,0,8122,0,8122,0,0,none,0.0,4187.94133290592,523.49266661324,4188.0433576036685,523.5054197004586,32.71339782515396,32.71339782515396,32.746508551697644,0.0,0.0,30.201693058013916,30.201693058013916,30.201693058013916,30.201693058013916,8122,134608,0.06033816712231071,0.9396618328776893,0.0,33.614846214069026,523.49266661324,0.0,33.61566512346919,523.5054197004586,0.0,0.011370799999999999,0.5565384,0.0,0.5679092,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,30.52225,30.522251,30.521533,1783035127.299,1783035157.822,1783035127.299,1783035157.821,8122,126502,134624,0,0,8122,126502,0,8122,0,8122,0,0,none,0.0,4144.582929118533,518.0728661398166,4144.6804113229455,518.0850514153682,32.37058897398515,32.37058897398515,32.403352728007405,0.0,0.0,30.521533012390137,30.521533012390137,30.521533012390137,30.521533012390137,8122,134624,0.06033099595911576,0.9396690040408843,0.0,33.26261892134188,518.0728661398166,0.0,33.263401271091524,518.0850514153682,0.0,0.011370799999999999,0.5566088,0.0,0.5679796,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,30.226701,30.226701,30.226088,1783035158.509,1783035188.736,1783035158.509,1783035188.736,8122,126486,134608,0,0,8122,126486,0,8122,0,8122,0,0,none,0.0,4184.578426504148,523.0723033130186,4184.66328824646,523.0829110308075,32.686995626294625,32.686995626294625,32.720079629964964,0.0,0.0,30.22608780860901,30.22608780860901,30.22608780860901,30.22608780860901,8122,134608,0.06033816712231071,0.9396618328776893,0.0,33.58785357674633,523.0723033130186,0.0,33.58853472631136,523.0829110308075,0.0,0.011370799999999999,0.5565384,0.0,0.5679092,1.4,4.4,0.26
vllm_batch_n128_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n128_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,128,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,128,0,0,,0,,31.052883,31.052884,31.052231,1783035189.663,1783035220.716,1783035189.663,1783035220.716,8122,126647,134769,0,0,8122,126647,0,8122,0,8122,0,0,none,0.0,4078.4295456917903,509.8036932114738,4078.515346388939,509.8144182986174,31.84956357101756,31.84956357101756,31.881767376448316,0.0,0.0,31.052230834960938,31.052230834960938,31.052230834960938,31.052230834960938,8122,134769,0.06026608493051073,0.9397339150694892,0.0,32.69422565290603,509.8036932114738,0.0,32.6949134635749,509.8144182986174,0.0,0.011370799999999999,0.5572468,0.0,0.5686176000000001,1.4,4.4,0.26
vllm_batch_n192_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n192_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,192,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,192,0,0,,0,,40.602423,40.602424,40.601756,1783035221.238,1783035261.84,1783035221.238,1783035261.84,12176,192159,204335,0,0,12176,192159,0,12176,0,12176,0,0,none,0.0,4732.697743448257,591.5872179310321,4732.775586016329,591.5969482520411,24.65410603511855,24.65410603511855,24.65410603511855,0.0,0.0,40.60175609588623,40.60175609588623,40.60175609588623,40.60175609588623,12176,204335,0.059588420975359095,0.9404115790246409,0.0,37.48544676818805,591.5872179310321,0.0,37.4860633221283,591.5969482520411,0.0,0.017046399999999996,0.8454996000000001,0.0,0.8625460000000001,1.4,4.4,0.26
vllm_batch_n192_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n192_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,192,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,192,0,0,,0,,39.604625,39.604625,39.603911,1783035262.914,1783035302.518,1783035262.914,1783035302.518,12176,192104,204280,0,0,12176,192104,0,12176,0,12176,0,0,none,0.0,4850.544632633732,606.3180790792165,4850.632059381169,606.3290074226461,25.27528157373376,25.27528157373376,25.27528157373376,0.0,0.0,39.60391092300415,39.60391092300415,39.60391092300415,39.60391092300415,12176,204280,0.05960446446054435,0.9403955355394557,0.0,38.429855343296026,606.3180790792165,0.0,38.43054800721557,606.3290074226461,0.0,0.017046399999999996,0.8452576,0.0,0.8623040000000001,1.4,4.4,0.26
