label,config_label,mode,rounds,request_count,batch_delay_seconds,max_tokens,submit_concurrency,gpu_count,token_metric,interactivity_mode,succeeded,succeeded_median_across_rounds,succeeded_stdev_across_rounds,succeeded_min,succeeded_max,failed,failed_median_across_rounds,failed_stdev_across_rounds,failed_min,failed_max,submit_failed,submit_failed_median_across_rounds,submit_failed_stdev_across_rounds,submit_failed_min,submit_failed_max,submit_seconds,submit_seconds_median_across_rounds,submit_seconds_stdev_across_rounds,submit_seconds_min,submit_seconds_max,wall_seconds,wall_seconds_median_across_rounds,wall_seconds_stdev_across_rounds,wall_seconds_min,wall_seconds_max,service_window_seconds,service_window_seconds_median_across_rounds,service_window_seconds_stdev_across_rounds,service_window_seconds_min,service_window_seconds_max,prompt_tokens,prompt_tokens_median_across_rounds,prompt_tokens_stdev_across_rounds,prompt_tokens_min,prompt_tokens_max,completion_tokens,completion_tokens_median_across_rounds,completion_tokens_stdev_across_rounds,completion_tokens_min,completion_tokens_max,total_tokens,total_tokens_median_across_rounds,total_tokens_stdev_across_rounds,total_tokens_min,total_tokens_max,throughput_tok_s,throughput_tok_s_median_across_rounds,throughput_tok_s_stdev_across_rounds,throughput_tok_s_min,throughput_tok_s_max,throughput_tok_s_gpu,throughput_tok_s_gpu_median_across_rounds,throughput_tok_s_gpu_stdev_across_rounds,throughput_tok_s_gpu_min,throughput_tok_s_gpu_max,service_throughput_tok_s,service_throughput_tok_s_median_across_rounds,service_throughput_tok_s_stdev_across_rounds,service_throughput_tok_s_min,service_throughput_tok_s_max,service_throughput_tok_s_gpu,service_throughput_tok_s_gpu_median_across_rounds,service_throughput_tok_s_gpu_stdev_across_rounds,service_throughput_tok_s_gpu_min,service_throughput_tok_s_gpu_max,interactivity_tok_s_user_median,interactivity_tok_s_user_median_median_across_rounds,interactivity_tok_s_user_median_stdev_across_rounds,interactivity_tok_s_user_median_min,interactivity_tok_s_user_median_max,interactivity_tok_s_user_p50,interactivity_tok_s_user_p50_median_across_rounds,interactivity_tok_s_user_p50_stdev_across_rounds,interactivity_tok_s_user_p50_min,interactivity_tok_s_user_p50_max,interactivity_tok_s_user_p95,interactivity_tok_s_user_p95_median_across_rounds,interactivity_tok_s_user_p95_stdev_across_rounds,interactivity_tok_s_user_p95_min,interactivity_tok_s_user_p95_max,queue_seconds_p50,queue_seconds_p50_median_across_rounds,queue_seconds_p50_stdev_across_rounds,queue_seconds_p50_min,queue_seconds_p50_max,queue_seconds_p95,queue_seconds_p95_median_across_rounds,queue_seconds_p95_stdev_across_rounds,queue_seconds_p95_min,queue_seconds_p95_max,upstream_seconds_p50,upstream_seconds_p50_median_across_rounds,upstream_seconds_p50_stdev_across_rounds,upstream_seconds_p50_min,upstream_seconds_p50_max,upstream_seconds_p95,upstream_seconds_p95_median_across_rounds,upstream_seconds_p95_stdev_across_rounds,upstream_seconds_p95_min,upstream_seconds_p95_max,end_to_end_seconds_p50,end_to_end_seconds_p50_median_across_rounds,end_to_end_seconds_p50_stdev_across_rounds,end_to_end_seconds_p50_min,end_to_end_seconds_p50_max,end_to_end_seconds_p95,end_to_end_seconds_p95_median_across_rounds,end_to_end_seconds_p95_stdev_across_rounds,end_to_end_seconds_p95_min,end_to_end_seconds_p95_max
vllm_batch_n8_delay0_max1024,vllm_batch_n8_delay0_max1024,vllm_batch,3,8,0.0,1024,32,8,completion,upstream,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.966841,11.871229,0.3280664093335366,11.697202,12.332092,11.966841333333335,11.87123,0.3280662636135158,11.697202,12.332092,11.966785000000002,11.871171,0.3280678141223247,11.697146,12.332038,512.0,512.0,0.0,512.0,512.0,7910.333333333333,7904.0,16.441816606851365,7898.0,7929.0,8422.333333333334,8416.0,16.441816606851365,8410.0,8441.0,661.3695490848916,665.8113839282801,19.09721873918006,640.4428480391377,677.8544152872569,82.67119363561144,83.22642299103501,2.3871523423975076,80.05535600489222,84.73180191090711,661.3726563720874,665.8146868227983,19.09747184623947,640.4456339558819,677.8576483375816,82.67158204651092,83.22683585284979,2.3871839807799335,80.05570424448524,84.7322060421977,82.6612624577059,83.22683585284979,2.3936916542544866,80.03543184533495,84.72151967493296,82.6612624577059,83.22683585284979,2.3936916542544866,80.03543184533495,84.72151967493296,82.70681535983185,83.22683585284979,2.373402193898206,80.1165214419361,84.77708878470966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.966785113016764,11.871170997619629,0.3280678329827403,11.69714617729187,12.332038164138794,11.966785113016764,11.871170997619629,0.3280678329827403,11.69714617729187,12.332038164138794,11.966785113016764,11.871170997619629,0.3280678329827403,11.69714617729187,12.332038164138794,11.966785113016764,11.871170997619629,0.3280678329827403,11.69714617729187,12.332038164138794
vllm_batch_n16_delay0_max1024,vllm_batch_n16_delay0_max1024,vllm_batch,3,16,0.0,1024,32,8,completion,upstream,16.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.761317666666667,15.787127,5.258569877256205,15.663852,24.832974,18.761318,15.787127,5.258569582740253,15.663853,24.832974,18.761266,15.787071,5.258570407682967,15.663804,24.832923,1001.0,1001.0,0.0,1001.0,1001.0,16183.333333333334,16175.0,14.433756729740644,16175.0,16200.0,17184.333333333332,17176.0,14.433756729740644,17176.0,17201.0,903.3788235784917,1026.152509038222,218.28592954696435,651.3517079334875,1032.6322537637657,112.92235294731147,128.26906362977775,27.285741193370544,81.41896349168594,129.0790317204707,903.3815660414533,1026.156150856801,218.28714801948394,651.3530399432572,1032.6355073243017,112.92269575518166,128.26951885710014,27.285893502435492,81.41912999290714,129.0794384155377,56.46351684789901,64.13475942855007,13.642675293330576,40.71208181654609,64.54370929860086,56.46351684789901,64.13475942855007,13.642675293330576,40.71208181654609,64.54370929860086,56.474074009944864,64.16643091468762,13.651589034735657,40.71208181654609,64.54370929860086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.761265993118286,15.787070989608765,5.258570565255922,15.663803815841675,24.83292317390442,18.761265993118286,15.787070989608765,5.258570565255922,15.663803815841675,24.83292317390442,18.761265993118286,15.787070989608765,5.258570565255922,15.663803815841675,24.83292317390442,18.761265993118286,15.787070989608765,5.258570565255922,15.663803815841675,24.83292317390442
vllm_batch_n32_delay0_max1024,vllm_batch_n32_delay0_max1024,vllm_batch,3,32,0.0,1024,32,8,completion,upstream,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.463694000000002,15.261155,0.5784629582808226,15.013735,16.116192,15.463694000000002,15.261155,0.5784629582808226,15.013735,16.116192,15.463547666666665,15.261064,0.5785141830208953,15.013492,16.116087,2034.0,2034.0,0.0,2034.0,2034.0,32636.0,32672.0,62.353829072479584,32564.0,32672.0,34670.0,34706.0,62.353829072479584,34598.0,34706.0,2112.5258417391483,2140.8602248613824,81.56090662470648,2020.5765600849006,2176.1407402711625,264.06573021739354,267.6075281076728,10.19511332808831,252.57207001061258,272.0175925338953,2112.5462216208343,2140.8729677698216,81.56942295777033,2020.5897424821032,2176.175954610579,264.0682777026043,267.6091209712277,10.196177869721291,252.5737178102629,272.0219943263224,66.02482565086329,66.90228024280692,2.5359302785359876,63.16669812820235,68.0054985815806,66.02482565086329,66.90228024280692,2.5359302785359876,63.16669812820235,68.0054985815806,66.02482565086329,66.90228024280692,2.5359302785359836,63.166698128202356,68.0054985815806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.463547706604004,15.261064291000366,0.5785141604112957,15.013491868972778,16.116086959838867,15.463547706604004,15.261064291000366,0.5785141604112957,15.013491868972778,16.116086959838867,15.463547706604004,15.261064291000366,0.5785141604112957,15.013491868972778,16.116086959838867,15.463547706604004,15.261064291000366,0.5785141604112957,15.013491868972778,16.116086959838867
vllm_batch_n64_delay0_max1024,vllm_batch_n64_delay0_max1024,vllm_batch,3,64,0.0,1024,32,8,completion,upstream,64.0,64.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.056795666666666,17.102863,0.5275217735045008,16.507751,17.559773,17.056796000000002,17.102863,0.5275222502406898,16.507751,17.559774,17.05666533333333,17.10273,0.5275235931267285,16.50762,17.559646,4045.0,4045.0,0.0,4045.0,4045.0,65340.0,65376.0,62.353829072479584,65268.0,65376.0,69385.0,69421.0,62.353829072479584,69313.0,69421.0,3833.2478681942007,3822.51788601839,122.06273660464304,3716.9043456961836,3960.3213728680275,479.1559835242751,477.81473575229876,15.25784207558038,464.61304321202294,495.04017160850344,3833.277299624906,3822.5476203636576,122.06488961462826,3716.9314463651995,3960.352832145861,479.15966245311324,477.8184525454572,15.258111201828532,464.61643079564993,495.04410401823264,59.898517103927226,59.727306568182144,1.9021782800337923,58.087731741320454,61.88051300227908,59.898517103927226,59.727306568182144,1.9021782800337923,58.087731741320454,61.88051300227908,59.9183584841802,59.756541666844996,1.9166651108902824,58.087731741320454,61.91080204437515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.056665341059368,17.10273003578186,0.5275234927491509,16.507620096206665,17.559645891189575,17.056665341059368,17.10273003578186,0.5275234927491509,16.507620096206665,17.559645891189575,17.056665341059368,17.10273003578186,0.5275234927491509,16.507620096206665,17.559645891189575,17.056665341059368,17.10273003578186,0.5275234927491509,16.507620096206665,17.559645891189575
vllm_batch_n128_delay0_max1024,vllm_batch_n128_delay0_max1024,vllm_batch,3,128,0.0,1024,32,8,completion,upstream,128.0,128.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67267266666667,22.599269,0.15996780594961457,22.56258,22.856169,22.67267266666667,22.599269,0.15996780594961457,22.56258,22.856169,22.67238766666667,22.598987,0.15997640896498724,22.562283,22.855893,8122.0,8122.0,0.0,8122.0,8122.0,130992.0,130992.0,0.0,130992.0,130992.0,139114.0,139114.0,0.0,139114.0,139114.0,5777.718981753837,5796.293698823537,40.6093344293185,5731.144186231072,5805.7190602069,722.2148727192297,724.5367123529421,5.076166803664813,716.393023278884,725.7148825258625,5777.791632211585,5796.36604011429,40.6125113726278,5731.2134158270765,5805.795440693388,722.2239540264482,724.5457550142862,5.076563921578475,716.4016769783846,725.7244300866735,45.122456636683545,45.267516024161154,0.31716898080950046,44.75869766391153,45.341156221977954,45.122456636683545,45.267516024161154,0.31716898080950046,44.75869766391153,45.341156221977954,45.16656460993544,45.31176579544577,0.31747901891390856,44.80245005654488,45.38547797781566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67238759994507,22.598986864089966,0.15997636741730614,22.562283039093018,22.85589289665222,22.67238759994507,22.598986864089966,0.15997636741730614,22.562283039093018,22.85589289665222,22.67238759994507,22.598986864089966,0.15997636741730614,22.562283039093018,22.85589289665222,22.67238759994507,22.598986864089966,0.15997636741730614,22.562283039093018,22.85589289665222
vllm_batch_n256_delay0_max1024,vllm_batch_n256_delay0_max1024,vllm_batch,3,256,0.0,1024,32,8,completion,upstream,256.0,256.0,0.0,256.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.24028033333334,35.100519,0.314799720333953,35.01956,35.600762,35.24028033333334,35.100519,0.314799720333953,35.01956,35.600762,35.23994833333334,35.100135,0.31490196312873947,35.019162,35.600548,16221.0,16221.0,0.0,16221.0,16221.0,258399.0,258391.0,13.856406460551018,258391.0,258415.0,274620.0,274612.0,13.856406460551018,274612.0,274636.0,7332.875849357428,7361.458114845917,64.80533111962582,7258.692968298548,7378.476464927816,916.6094811696785,920.1822643557397,8.100666389953227,907.3366210373185,922.309558115977,7332.9451667008425,7361.538669510978,64.8276635609383,7258.736524484722,7378.560306106823,916.6181458376053,920.1923336888723,8.103457945117288,907.3420655605903,922.3200382633529,28.633795043635633,28.746328306855027,0.2546545953047219,28.342260136621654,28.812796687430232,28.633795043635633,28.746328306855027,0.2546545953047219,28.342260136621654,28.812796687430232,28.662173433173432,28.77481822589056,0.2549069784517032,28.370349591662904,28.841352481966833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.239948431650795,35.10013484954834,0.31490208719597357,35.01916217803955,35.6005482673645,35.239948431650795,35.10013484954834,0.31490208719597357,35.01916217803955,35.6005482673645,35.239948431650795,35.10013484954834,0.31490208719597357,35.01916217803955,35.6005482673645,35.239948431650795,35.10013484954834,0.31490208719597357,35.01916217803955,35.6005482673645
vllm_batch_n384_delay0_max1024,vllm_batch_n384_delay0_max1024,vllm_batch,3,384,0.0,1024,32,8,completion,upstream,128.0,0.0,221.70250336881628,0.0,384.0,256.0,384.0,221.70250336881628,0.0,384.0,0.0,0.0,0.0,0.0,0.0,323.678874,377.750931,180.75389525307477,122.060114,471.225577,323.678874,377.750931,180.75389525307477,122.060114,471.225577,323.6787546666667,377.750931,180.75409491549098,122.059756,471.225577,8117.333333333333,0.0,14059.633755305767,0.0,24352.0,126573.66666666667,0.0,219232.02156695386,0.0,379721.0,134691.0,0.0,233291.65532225964,0.0,404073.0,1036.9781136141692,0.0,1796.0987791166726,0.0,3110.9343408425075,129.62226420177115,0.0,224.51234738958408,0.0,388.86679260531344,1036.9811579753139,0.0,1796.1040521048517,0.0,3110.9434739259414,129.62264474691423,0.0,224.51300651310646,0.0,388.86793424074267,2.7008629104989854,0.0,4.678031785262596,0.0,8.102588731496956,2.7008629104989854,0.0,4.678031785262596,0.0,8.102588731496956,2.7008629104989854,0.0,4.678031785262596,0.0,8.102588731496956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.68658518791199,0.0,70.47123273194288,0.0,122.05975556373596,40.68658518791199,0.0,70.47123273194288,0.0,122.05975556373596,40.68658518791199,0.0,70.47123273194288,0.0,122.05975556373596,40.68658518791199,0.0,70.47123273194288,0.0,122.05975556373596
vllm_batch_n480_delay0_max1024,vllm_batch_n480_delay0_max1024,vllm_batch,3,480,0.0,1024,32,8,completion,upstream,480.0,480.0,0.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.78056466666666,121.235587,72.93267838526168,120.112635,246.993472,162.780565,121.235588,72.93267810044438,120.112635,246.993472,162.779774,121.23488,72.93240647671675,120.112074,246.992368,30440.0,30440.0,0.0,30440.0,30440.0,483153.6666666667,482966.0,325.04820155375927,482966.0,483529.0,513593.6666666667,513406.0,325.04820155375927,513406.0,513969.0,3321.554745562355,3988.3421083983403,1183.2546477461972,1955.3796153447383,4020.942512943988,415.1943431952944,498.54276354979254,147.90683096827465,244.4224519180923,502.6178141179985,3321.57167846549,3988.365387638894,1183.2617120953726,1955.388354483515,4020.961293274061,415.19645980818626,498.54567345486174,147.90771401192157,244.42354431043938,502.62016165925763,6.918233930747807,8.306190415367778,2.4642883263090907,4.073000344973385,8.375511031902256,6.918233930747807,8.306190415367778,2.4642883263090907,4.073000344973385,8.375511031902256,6.925108169760725,8.31443886662435,2.466735608068473,4.07704905306978,8.383836589588045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.77977403004965,121.23488020896912,72.93240643704996,120.11207389831543,246.99236798286438,162.77977403004965,121.23488020896912,72.93240643704996,120.11207389831543,246.99236798286438,162.77977403004965,121.23488020896912,72.93240643704996,120.11207389831543,246.99236798286438,162.77977403004965,121.23488020896912,72.93240643704996,120.11207389831543,246.99236798286438
