label,config_label,mode,round_index,warmup,request_count,batch_delay_seconds,max_tokens,submit_concurrency,arrival_pattern,arrival_rate_rps,arrival_burst,arrival_span_seconds,gpu_count,token_metric,interactivity_mode,succeeded,failed,submit_failed,failure_top_error,failure_top_error_count,failure_error_summary,submit_seconds,wall_seconds,service_window_seconds,submit_started_at,run_finished_at,service_started_at,service_finished_at,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,response_cached_prompt_tokens,metrics_prompt_tokens,metrics_completion_tokens,metrics_cached_prompt_tokens,metrics_prefix_cache_queries,metrics_prefix_cache_hits,metrics_local_compute_prompt_tokens,metrics_local_cache_hit_prompt_tokens,metrics_external_kv_transfer_prompt_tokens,cached_prompt_token_source,metrics_prefix_cache_hit_rate,throughput_tok_s,throughput_tok_s_gpu,service_throughput_tok_s,service_throughput_tok_s_gpu,interactivity_tok_s_user_median,interactivity_tok_s_user_p50,interactivity_tok_s_user_p95,queue_seconds_p50,queue_seconds_p95,upstream_seconds_p50,upstream_seconds_p95,end_to_end_seconds_p50,end_to_end_seconds_p95,uncached_input_tokens,billed_breakdown_tokens,input_token_ratio,output_token_ratio,cached_token_ratio,input_throughput_tok_s_gpu,output_throughput_tok_s_gpu,cached_throughput_tok_s_gpu,service_input_throughput_tok_s_gpu,service_output_throughput_tok_s_gpu,service_cached_throughput_tok_s_gpu,input_cost_usd,output_cost_usd,cached_cost_usd,estimated_cost_usd,input_cost_per_m,output_cost_per_m,cached_cost_per_m
vllm_batch_n192_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n192_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,192,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,192,0,0,,0,,28.019232,28.019232,28.01892,1783008730.276,1783008758.296,1783008730.276,1783008758.295,12176,195126,207302,0,0,12176,195126,0,12176,0,12176,0,0,none,0.0,6964.002430846996,870.5003038558744,6964.079999681416,870.509999960177,36.261212138189265,36.261212138189265,36.29690230761661,0.0,0.0,28.018919944763184,28.018919944763184,28.018919944763184,28.018919944763184,12176,207302,0.058735564538692345,0.9412644354613077,0.0,54.31983282468316,870.5003038558744,0.0,54.320437868429195,870.509999960177,0.0,0.017046399999999996,0.8585544,0.0,0.8756008000000001,1.4,4.4,0.26
vllm_batch_n192_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n192_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,192,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,192,0,0,,0,,29.612973,29.612973,29.612652,1783008758.826,1783008788.439,1783008758.826,1783008788.439,12176,194567,206743,0,0,12176,194567,0,12176,0,12176,0,0,none,0.0,6570.3298404291245,821.2912300536406,6570.401042893265,821.3001303616581,34.20835114099964,34.20835114099964,34.24212049059589,0.0,0.0,29.61265206336975,29.61265206336975,29.61265206336975,29.61265206336975,12176,206743,0.058894376109469244,0.9411056238905308,0.0,51.39639310434517,821.2912300536406,0.0,51.39695008549008,821.3001303616581,0.0,0.017046399999999996,0.8560948,0.0,0.8731412000000001,1.4,4.4,0.26
vllm_batch_n224_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n224_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,224,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,224,0,0,,0,,32.323522,32.323522,32.32295,1783008789.054,1783008821.378,1783008789.054,1783008821.377,14210,226732,240942,0,0,14210,226732,0,14210,0,14210,0,0,none,0.0,7014.458367572151,876.8072959465188,7014.582542664069,876.8228178330086,31.309023574863883,31.309023574863883,31.339961345194776,0.0,0.0,32.32294988632202,32.32294988632202,32.32294988632202,32.32294988632202,14210,240942,0.05897684920022246,0.9410231507997775,0.0,54.95224174532061,876.8072959465188,0.0,54.95321455024898,876.8228178330086,0.0,0.019894,0.9976208000000001,0.0,1.0175148,1.4,4.4,0.26
vllm_batch_n224_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n224_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,224,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,224,0,0,,0,,30.557159,30.557159,30.556525,1783008821.977,1783008852.534,1783008821.977,1783008852.533,14210,226735,240945,0,0,14210,226735,0,14210,0,14210,0,0,none,0.0,7420.028760666391,927.5035950832988,7420.182761601395,927.5228452001744,33.11894923474811,33.11894923474811,33.151675469169795,0.0,0.0,30.556524991989136,30.556524991989136,30.556524991989136,30.556524991989136,14210,240945,0.05897611488098944,0.9410238851190106,0.0,58.12876744275774,927.5035950832988,0.0,58.12997389152305,927.5228452001744,0.0,0.019894,0.9976340000000001,0.0,1.0175280000000002,1.4,4.4,0.26
vllm_batch_n224_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n224_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,224,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,224,0,0,,0,,30.90905,30.90905,30.9084,1783008853.515,1783008884.424,1783008853.515,1783008884.424,14210,226706,240916,0,0,14210,226706,0,14210,0,14210,0,0,none,0.0,7334.615592829086,916.8269491036358,7334.7698220907305,916.8462277613413,32.741908286308345,32.741908286308345,32.77426195062288,0.0,0.0,30.908400058746338,30.908400058746338,30.908400058746338,30.908400058746338,14210,240916,0.05898321406631357,0.9410167859336864,0.0,57.466987846650134,916.8269491036358,0.0,57.4681962386909,916.8462277613413,0.0,0.019894,0.9975064,0.0,1.0174004,1.4,4.4,0.26
vllm_batch_n224_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n224_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,224,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,224,0,0,,0,,31.937448,31.937449,31.936806,1783008884.952,1783008916.889,1783008884.952,1783008916.889,14210,226711,240921,0,0,14210,226711,0,14210,0,14210,0,0,none,0.0,7098.594457582443,887.3243071978054,7098.737486505682,887.3421858132102,31.687577295957187,31.687577295957187,31.718889131229872,0.0,0.0,31.936805725097656,31.936805725097656,31.936805725097656,31.936805725097656,14210,240921,0.05898198994691206,0.9410180100530879,0.0,55.61652679085186,887.3243071978054,0.0,55.61764740310667,887.3421858132102,0.0,0.019894,0.9975284,0.0,1.0174224,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_warmup1,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,1,True,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,32.797626,32.797626,32.796865,1783008917.675,1783008950.472,1783008917.675,1783008950.472,16221,259188,275409,0,0,16221,259188,0,16221,0,16221,0,0,none,0.0,7902.645144304349,987.8306430380436,7902.828520571187,987.8535650713984,30.856607801356706,30.856607801356706,30.887098520528006,0.0,0.0,32.79686498641968,32.79686498641968,32.79686498641968,32.79686498641968,16221,275409,0.058897857368495586,0.9411021426315044,0.0,61.822309909101136,987.8306430380436,0.0,61.823744459709374,987.8535650713984,0.0,0.022709399999999998,1.1404272000000002,0.0,1.1631366000000003,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round1,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,1,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,33.897384,33.897384,33.896652,1783008951.417,1783008985.314,1783008951.417,1783008985.313,16221,258932,275153,0,0,16221,258932,0,16221,0,16221,0,0,none,0.0,7638.701574956431,954.8376968695538,7638.866520736802,954.8583150921003,29.825954507225475,29.825954507225475,29.855455945907202,0.0,0.0,33.89665198326111,33.89665198326111,33.89665198326111,33.89665198326111,16221,275153,0.05895265543170527,0.9410473445682948,0.0,59.816562962171666,954.8376968695538,0.0,59.81785460703566,954.8583150921003,0.0,0.022709399999999998,1.1393008,0.0,1.1620102,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round2,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,2,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,35.639442,35.639442,35.638749,1783008986.227,1783009021.866,1783008986.227,1783009021.866,16221,259201,275422,0,0,16221,259201,0,16221,0,16221,0,0,none,0.0,7272.8691573212955,909.1086446651619,7273.010644739718,909.1263305924648,28.424117897389806,28.424117897389806,28.424117897389806,0.0,0.0,35.63874888420105,35.63874888420105,35.63874888420105,35.63874888420105,16221,275422,0.058895077372177966,0.9411049226278221,0.0,56.89272543359629,909.1086446651619,0.0,56.89383223267029,909.1263305924648,0.0,0.022709399999999998,1.1404844,0.0,1.1631938000000002,1.4,4.4,0.26
vllm_batch_n256_delay0_max1024_arrivalall_at_once_round3,vllm_batch_n256_delay0_max1024_arrivalall_at_once,vllm_batch,3,False,256,0.0,1024,32,all_at_once,0.0,0,0.0,8,completion,upstream,256,0,0,,0,,32.882408,32.882408,32.881835,1783009022.644,1783009055.526,1783009022.644,1783009055.526,16221,259157,275378,0,0,16221,259157,0,16221,0,16221,0,0,none,0.0,7881.326719113705,985.1658398892131,7881.463983028619,985.1829978785773,30.776870973290176,30.776870973290176,30.807282901129398,0.0,0.0,32.88183522224426,32.88183522224426,32.88183522224426,32.88183522224426,16221,275378,0.05890448764970332,0.9410955123502966,0.0,61.662911242385604,985.1658398892131,0.0,61.66398518499752,985.1829978785773,0.0,0.022709399999999998,1.1402908,0.0,1.1630002000000002,1.4,4.4,0.26
